name,race,gender,first_appearance,first_appearance_year,game_count,game_names,description_preview,auto_flag,flag_reason,keep_suggested,keep,tier
Princess Zelda,Hylian,Female,The Legend of Zelda,1986,17,The Legend of Zelda; Zelda II: The Adventure of Link; The Legend of Zelda: A Link to the Past; The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask; The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages; The Legend of Zelda: Four Swords; The Legend of Zelda: The Wind Waker; The Legend of Zelda: Four Swords Adventures; The Legend of Zelda: The Minish Cap; The Legend of Zelda: Twilight Princess; The Legend of Zelda: Phantom Hourglass; The Legend of Zelda: Spirit Tracks; The Legend of Zelda: Skyward Sword; The Legend of Zelda: A Link Between Worlds; The Legend of Zelda: Breath of the Wild,"Zelda, traditionally Princess Zelda, is the eponymous character of The Legend of Zelda series. With the exception of Link's Awakening, Majora's Mask, ",FALSE,,yes,yes,
Impa,Sheikah,Female,The Legend of Zelda,1986,8,The Legend of Zelda; Zelda II: The Adventure of Link; The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages; The Legend of Zelda: Skyward Sword; The Legend of Zelda: A Link Between Worlds; The Legend of Zelda: Breath of the Wild,"Impa  is the family name of several female members of the Sheikah, a mysterious tribe that has served and protected the Royal Family of Hyrule for man",FALSE,,yes,yes,
Malon, ,Female,The Legend of Zelda: Ocarina of Time,1998,4,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Four Swords Adventures; The Legend of Zelda: The Minish Cap,"Malon is a recurring character in The Legend of Zelda series. In the majority of games she has appeared in, she is the daughter of the rancher Talon, ",TRUE,no_race_but_recurring,yes,yes,
Niko,Hylian,Male,The Legend of Zelda: The Wind Waker,2003,4,The Legend of Zelda: The Wind Waker; The Legend of Zelda: Four Swords Adventures; The Legend of Zelda: Phantom Hourglass; The Legend of Zelda: Spirit Tracks,Niko is a recurring character in The Legend of Zelda series. He is a member of Tetra's Pirate Crew. He is the skivvy and the lowest-ranking crew membe,FALSE,,yes,yes,
Twinrova,Gerudo,Female,The Legend of Zelda: Ocarina of Time,1998,4,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask; The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages,"Koume and Kotake, collectively known as Twinrova, are a recurring pair of Gerudo twin witches in The Legend of Zelda series. They are known as the Sor",FALSE,,yes,yes,
Gonzo,Hylian,Male,The Legend of Zelda: The Wind Waker,2003,3,The Legend of Zelda: The Wind Waker; The Legend of Zelda: Four Swords Adventures; The Legend of Zelda: Phantom Hourglass,"Gonzo is a recurring character in The Legend of Zelda series. He is a member of Tetra's Pirate Crew. In The Wind Waker, he is often seen at the helm o",FALSE,,yes,yes,
Happy Mask Salesman, ,Male,The Legend of Zelda: Ocarina of Time,1998,3,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask; The Legend of Zelda: Oracle of Ages,"The Happy Mask Salesman, also known as the Happy Mask Shop Owner, is a recurring character in The Legend of Zelda series. ",TRUE,no_race_but_recurring,yes,yes,
Mako,Hylian,Male,The Legend of Zelda: The Wind Waker,2003,3,The Legend of Zelda: The Wind Waker; The Legend of Zelda: Four Swords Adventures; The Legend of Zelda: Phantom Hourglass,Mako is a recurring character in The Legend of Zelda series. He is a member of Tetra's Pirate Crew. He has a rather limited role as he rarely ever spe,FALSE,,yes,yes,
Royal Guard,,,The Legend of Zelda: Ocarina of Time,1998,3,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Twilight Princess; The Legend of Zelda: Breath of the Wild,"Royal Guards are bodyguards dedicated and designated to protect the Royal Family, particularly the king and princess of Hyrule Kingdom. ",TRUE,no_race_but_recurring,yes,yes,
Animal Companion,,,The Legend of Zelda: Oracle of Seasons,2001,2,The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages,"The Animal Companions are three characters in Oracle of Seasons and Oracle of Ages: Ricky, Moosh, and Dimitri. They become Link's Mounts when he needs",TRUE,no_race,yes,yes,
