name,race,gender,first_appearance,first_appearance_year,game_count,game_names,description_preview,auto_flag,flag_reason,keep_suggested,keep,tier
Princess Zelda,Hylian,Female,The Legend of Zelda,1986,17,The Legend of Zelda; Zelda II: The Adventure of Link; The Legend of Zelda: A Link to the Past; The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask; The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages; The Legend of Zelda: Four Swords; The Legend of Zelda: The Wind Waker; The Legend of Zelda: Four Swords Adventures; The Legend of Zelda: The Minish Cap; The Legend of Zelda: Twilight Princess; The Legend of Zelda: Phantom Hourglass; The Legend of Zelda: Spirit Tracks; The Legend of Zelda: Skyward Sword; The Legend of Zelda: A Link Between Worlds; The Legend of Zelda: Breath of the Wild,"Zelda, traditionally Princess Zelda, is the eponymous character of The Legend of Zelda series. With the exception of Link's Awakening, Majora's Mask, ",False,,yes,yes,S
Impa,Sheikah,Female,The Legend of Zelda,1986,8,The Legend of Zelda; Zelda II: The Adventure of Link; The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages; The Legend of Zelda: Skyward Sword; The Legend of Zelda: A Link Between Worlds; The Legend of Zelda: Breath of the Wild,"Impa  is the family name of several female members of the Sheikah, a mysterious tribe that has served and protected the Royal Family of Hyrule for man",False,,yes,yes,S
Malon, ,Female,The Legend of Zelda: Ocarina of Time,1998,4,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Four Swords Adventures; The Legend of Zelda: The Minish Cap,"Malon is a recurring character in The Legend of Zelda series. In the majority of games she has appeared in, she is the daughter of the rancher Talon, ",True,no_race_but_recurring,yes,yes,A
Twinrova,Gerudo,Female,The Legend of Zelda: Ocarina of Time,1998,4,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask; The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: Oracle of Ages,"Koume and Kotake, collectively known as Twinrova, are a recurring pair of Gerudo twin witches in The Legend of Zelda series. They are known as the Sor",False,,yes,yes,A
Happy Mask Salesman, ,Male,The Legend of Zelda: Ocarina of Time,1998,3,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask; The Legend of Zelda: Oracle of Ages,"The Happy Mask Salesman, also known as the Happy Mask Shop Owner, is a recurring character in The Legend of Zelda series. ",True,no_race_but_recurring,yes,yes,S
Phantom Zelda,Phantom,Female,The Legend of Zelda: Spirit Tracks,2009,2,The Legend of Zelda: Spirit Tracks; The Legend of Zelda: Breath of the Wild,"Phantom Zelda is a recurring character in The Legend of Zelda series. Phantom Zelda goes unnamed in Breath of the Wild, Hyrule Warriors, and Super Sma",False,,yes,yes,A
Toon Zelda,Hylian,Female,Hyrule Warriors,2014,2,Hyrule Warriors; Hyrule Warriors Legends,"Toon Zelda is a playable Warrior in Hyrule Warriors, appearing in the Phantom Hourglass &amp; Spirit Tracks DLC pack. Her design is based on Zelda's a",False,,yes,yes,A
Anjean,Lokomo,Female,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,"Anjean  is a character in Spirit Tracks. She is a member of the Lokomo people and the protector of the Tower of Spirits, the central hub of the Spirit",False,,yes,yes,A
Darunia,Goron,Male,The Legend of Zelda: Ocarina of Time,1998,1,The Legend of Zelda: Ocarina of Time,"Darunia, also known as The Passionate Brother, is a recurring character in The Legend of Zelda series. He is the leader of the Hyrulean Gorons and the",False,,yes,yes,S
Fierce Deity Link,/,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,"Fierce Deity Link is one of the transformations Link turns into in Majora's Mask, achieved by wearing the Fierce Deity's Mask. This transforms him int",False,,yes,yes,A
Irene,Hylian,Female,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,Irene is one of the Seven Sages in A Link Between Worlds. She is the apprentice of the Witch who lives near Zora's Domain.  ,False,,yes,yes,A
King Rhoam,", ",Male,The Legend of Zelda: Breath of the Wild,2017,1,The Legend of Zelda: Breath of the Wild,King Rhoam Bosphoramus Hyrule is a character in Breath of the Wild. He is the former King of Hyrule and the first person that Link encounters after aw,False,,yes,yes,A
Laruto,Zora,Female,The Legend of Zelda: The Wind Waker,2003,1,The Legend of Zelda: The Wind Waker,"Laruto is the former Sage of Earth in The Wind Waker. She is a Zora, the only one of her race to appear in The Wind Waker. She was born in Zora's Doma",False,,yes,yes,A
Malladus,Demon,Male,The Legend of Zelda: Spirit Tracks,2009,1,The Legend of Zelda: Spirit Tracks,Malladus is the primary antagonist of Spirit Tracks. He is a powerful demon that once terrorized the land that would eventually be home to the new kin,False,,yes,yes,S
Nabooru,Gerudo,Female,The Legend of Zelda: Ocarina of Time,1998,1,The Legend of Zelda: Ocarina of Time,"Nabooru  is a character in Ocarina of Time. She is the second-in-command of the Gerudo, Ganondorf being her only superior. She has a second-in-command",False,,yes,yes,S
Navi,Fairy,Female,The Legend of Zelda: Ocarina of Time,1998,1,The Legend of Zelda: Ocarina of Time,Navi  is a recurring character in The Legend of Zelda series. She is a Fairy who serves as Link's companion in his quest to save Hyrule. ,False,,yes,yes,S
Oshus,Deity (Appears ,Male,The Legend of Zelda: Phantom Hourglass,2007,1,The Legend of Zelda: Phantom Hourglass,"Oshus, also known as the Ocean King, is a character in Phantom Hourglass. He watches over the World of the Ocean King. He is the creator of the Phanto",False,,yes,yes,A
Pamela,Human,Female,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,Pamela is a character in Majora's Mask. She is the daughter of a research scientist at the Music Box House in Ikana Canyon. When her father succumbs t,False,,yes,yes,A
Princess Hilda,Hylian,Female,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,"Princess Hilda, also known simply as Hilda, is the princess of Lorule and a principal character in A Link Between Worlds. As she appears as a darker, ",False,,yes,yes,S
Ralph,Human,Male,The Legend of Zelda: Oracle of Ages,2001,1,The Legend of Zelda: Oracle of Ages,"Ralph is character in Oracle of Ages. He is Nayru's childhood friend and loyal guardian. Although he is stubborn and hotheaded, rarely pondering the c",False,,yes,yes,A
Uncle Rupee,,,Freshly-Picked Tingle's Rosy Rupeeland,2006,1,Freshly-Picked Tingle's Rosy Rupeeland,Uncle Rupee is a character in Freshly-Picked Tingle's Rosy Rupeeland. He promises Tingle entrance to the paradise of Rupeeland if he is able to collec,True,no_race,yes,yes,A
Wizzro,,Male,Hyrule Warriors,2014,1,Hyrule Warriors,"Wizzro, also known as the Dark Wizard, is an antagonist in Hyrule Warriors. In the version 1.3.0 update, he is also a playable Warrior. ",True,no_race,yes,yes,A
Yuga,,Male,The Legend of Zelda: A Link Between Worlds,2013,1,The Legend of Zelda: A Link Between Worlds,"Yuga is an evil sorcerer and one of the two primary antagonists of A Link Between Worlds. At the beginning of the game, Yuga hunts the descendants of ",True,no_race,yes,yes,S
Zant,Twili,Male,The Legend of Zelda: Twilight Princess,2006,1,The Legend of Zelda: Twilight Princess,"Zant  is one of two main antagonists in Twilight Princess. He is the self-proclaimed King of Twilight, although Midna claims he is the King of Shadows",False,,yes,yes,S
Zora Link,Zora,Male,The Legend of Zelda: Majora's Mask,2000,1,The Legend of Zelda: Majora's Mask,"Zora Link is one of the forms Link can transform into in Majora's Mask, achieved by wearing the Zora Mask. It is one of four Mask transformations in t",False,,yes,yes,A
Epona,,Female,The Legend of Zelda: Ocarina of Time,1998,5,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Majora's Mask; The Legend of Zelda: The Minish Cap; The Legend of Zelda: Twilight Princess; The Legend of Zelda: Breath of the Wild,Epona  is a recurring character in The Legend of Zelda series. ,True,no_race_but_recurring,yes,yes,S
King Zora,Zora,Male,The Legend of Zelda: A Link to the Past,1992,4,The Legend of Zelda: A Link to the Past; The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Oracle of Ages; The Legend of Zelda: Twilight Princess,King Zora is a recurring character in The Legend of Zelda series. He is the leader of the Zora race. ,False,,yes,yes,A
Goron Elder,Goron,Male,The Legend of Zelda: Majora's Mask,2000,3,The Legend of Zelda: Majora's Mask; The Legend of Zelda: Oracle of Ages; The Legend of Zelda: Spirit Tracks,Goron Elders are recurring characters in The Legend of Zelda series. ,False,,yes,yes,A
Ingo,Hylian,Male,The Legend of Zelda: Ocarina of Time,1998,3,The Legend of Zelda: Ocarina of Time; The Legend of Zelda: Oracle of Seasons; The Legend of Zelda: A Link Between Worlds,Ingo is a recurring character in The Legend of Zelda series. ,False,,yes,yes,A
